"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1723049077013x654963527395573800","13000","1723048806279x328777167745581060","HS7046","1723049077013x316543812754210800","Aug 7, 2024 6:44 pm","1723049077013x738377654583951400"
"1723049078301x547688860569042940","17500","1723048806279x328777167745581060","HS7070","1723049078301x800638687254413300","Aug 7, 2024 6:44 pm","1723049078301x982693890262302700"
"1723049079921x143689922105835520","17500","1723048806279x328777167745581060","HS7067","1723049079921x467593216875823100","Aug 7, 2024 6:44 pm","1723049079921x672526482744279000"
"1723049081361x396005553708990460","17500","1723048806279x328777167745581060","HS7076","1723049081361x144287458479833100","Aug 7, 2024 6:44 pm","1723049081361x153022871993843700"
"1723049082534x810620455195246600","17500","1723048806279x328777167745581060","HS7122","1723049082534x131838689993031680","Aug 7, 2024 6:44 pm","1723049082534x408959799714906100"
"1723049083620x349932485922521100","17500","1723048806279x328777167745581060","HS7072","1723049083620x371130185418014700","Aug 7, 2024 6:44 pm","1723049083620x655484507551694800"
"1723049085826x813418233023955000","33500","1723048806279x328777167745581060","U05691","1723049085826x984324199679524900","Aug 7, 2024 6:44 pm","1723049085826x712699907431989200"
"1723049087381x568168180191068160","24000","1723048806279x328777167745581060","HU5901","1723049087381x140132538859913220","Aug 7, 2024 6:44 pm","1723049087381x839207923082068000"
"1723049089150x813955597406568400","26000","1723048806279x328777167745581060","GZ9417","1723049089150x440773169509040100","Aug 7, 2024 6:44 pm","1723049089150x227016003938418700"
"1723049090797x534668878032666600","27500","1723048806279x328777167745581060","GZ9416","1723049090797x714207325507551200","Aug 7, 2024 6:44 pm","1723049090797x951340793721258000"
"1723049092484x332373190276022300","26000","1723048806279x328777167745581060","GZ9424","1723049092484x484544197004886000","Aug 7, 2024 6:44 pm","1723049092484x360122751975424000"
"1723049094035x866436855665524700","25500","1723048806279x328777167745581060","M38883","1723049094035x807176658546851800","Aug 7, 2024 6:44 pm","1723049094035x354802040484134900"
"1723049095233x713582461626351600","26000","1723048806279x328777167745581060","HJ3992","1723049095233x846938604040355800","Aug 7, 2024 6:44 pm","1723049095233x786030330469417000"
"1723049097441x204481194633199600","27500","1723048806279x328777167745581060","JB7684","1723049097441x604968275694059500","Aug 7, 2024 6:44 pm","1723049097441x640769711768338400"
"1723049098783x299684678259179500","26000","1723048806279x328777167745581060","725944","1723049098783x639079361806336000","Aug 7, 2024 6:44 pm","1723049098783x878650245376114700"
"1723049100010x308162808581193700","25000","1723048806279x328777167745581060","HW9828","1723049100010x698953612495159300","Aug 7, 2024 6:45 pm","1723049100010x655864635032862700"
"1723049101195x300698406054789100","26000","1723048806279x328777167745581060","GZ9425","1723049101195x143383488920289280","Aug 7, 2024 6:45 pm","1723049101195x110146318438236160"
"1723049103229x432839106458812400","27500","1723048806279x328777167745581060","JB7709","1723049103229x513678355779026940","Aug 7, 2024 6:45 pm","1723049103229x223915190723543040"
"1723049104664x664621355080613900","27500","1723048806279x328777167745581060","JB7708","1723049104664x861065559899897900","Aug 7, 2024 6:45 pm","1723049104664x307039344330276860"
"1723049106204x915465113420431400","27500","1723048806279x328777167745581060","JB7695","1723049106204x567916144617848800","Aug 7, 2024 6:45 pm","1723049106204x162211390916395000"
"1723049107852x925465193422782500","27500","1723048806279x328777167745581060","JB7694","1723049107852x951082058165518300","Aug 7, 2024 6:45 pm","1723049107852x364613283348217860"
"1723049109502x877020875621924900","27500","1723048806279x328777167745581060","JB7687","1723049109502x172994585547767800","Aug 7, 2024 6:45 pm","1723049109502x520877653997912060"
"1723049111378x178775737648545800","27500","1723048806279x328777167745581060","JB7679","1723049111378x684709446674284500","Aug 7, 2024 6:45 pm","1723049111378x490576097550794750"
"1723049112571x187761811269615600","49500","1723048806279x328777167745581060","JW2363","1723049112571x228903557932777470","Aug 7, 2024 6:45 pm","1723049112571x455145574720602100"
"1723049114117x139312596161921020","","1723048806279x328777167745581060","w31440","1723049114117x299126422589145100","Aug 7, 2024 6:45 pm","1723049114117x220402901315747840"
